,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,cockburn town,21.4612,-71.1419,28.14,79,2,8.84,TC,1658863328
1,upernavik,72.7868,-56.1549,3.63,89,100,5.13,GL,1658863132
2,bluff,-46.6,168.3333,7.11,89,100,10.04,NZ,1658863331
3,albany,42.6001,-73.9662,25.2,52,100,3.58,US,1658863276
4,bathsheba,13.2167,-59.5167,30.34,76,20,9.26,BB,1658863333
5,qaanaaq,77.484,-69.3632,6.75,61,53,1.43,GL,1658863334
6,chokurdakh,70.6333,147.9167,6.56,67,98,5.05,RU,1658863336
7,umm kaddadah,13.6017,26.6876,33.81,32,100,5.74,SD,1658863337
8,pucara,-15.9803,-71.4606,7.07,31,95,4.38,PE,1658863338
9,punta arenas,-53.15,-70.9167,4.01,70,75,6.17,CL,1658863340
10,lachhmangarh,27.8214,75.0251,27.58,79,20,2.66,IN,1658863341
11,dikson,73.5069,80.5464,8.1,87,100,12.43,RU,1658863342
12,popondetta,-8.7537,148.2534,21.54,93,79,1.62,PG,1658863344
13,boguchany,58.3814,97.4531,13.88,98,100,3.84,RU,1658863345
14,beysehir,37.6773,31.7246,20.31,41,0,3.05,TR,1658863346
15,khatanga,71.9667,102.5,18.27,60,54,3.94,RU,1658863348
16,berlevag,70.8578,29.0864,16.89,88,100,1.03,NO,1658863319
17,port lincoln,-34.7333,135.8667,10.61,81,100,4.91,AU,1658863230
18,georgetown,5.4112,100.3354,27.96,88,20,2.57,MY,1658863240
19,narsaq,60.9167,-46.05,14.12,80,60,2.51,GL,1658863352
20,portland,45.5234,-122.6762,34.87,44,0,3.6,US,1658862905
21,qostanay,53.1667,63.5833,20.16,73,40,7.0,KZ,1658863355
22,launceston,-41.45,147.1667,4.78,94,75,0.0,AU,1658863356
23,zhigansk,66.7697,123.3711,16.73,68,70,1.17,RU,1658863150
24,jamestown,42.097,-79.2353,26.68,52,40,4.12,US,1658863358
25,bredasdorp,-34.5322,20.0403,10.72,90,100,2.78,ZA,1658863108
26,hithadhoo,-0.6,73.0833,27.33,76,100,5.42,MV,1658863361
27,ibra,22.6906,58.5334,26.95,73,100,5.04,OM,1658863362
28,nanortalik,60.1432,-45.2371,7.85,88,78,2.27,GL,1658863363
29,kapaa,22.0752,-159.319,28.18,73,75,7.2,US,1658863118
30,avesta,60.1455,16.1679,16.33,67,100,3.54,SE,1658863366
31,ushuaia,-54.8,-68.3,3.79,60,20,4.12,AR,1658863152
32,parabel,58.6978,81.4825,15.21,90,38,3.56,RU,1658863368
33,hokitika,-42.7167,170.9667,8.54,79,91,2.84,NZ,1658863369
34,victoria,22.2855,114.1577,30.21,77,0,4.02,HK,1658863179
35,blytheville,35.9273,-89.919,36.7,62,75,5.14,US,1658863372
36,saint-philippe,-21.3585,55.7679,19.01,81,4,4.1,RE,1658863373
37,eregli,37.5133,34.0467,21.57,37,0,0.91,TR,1658863374
38,ancud,-41.8697,-73.8203,11.79,84,83,3.9,CL,1658863195
39,montbrison,45.6667,4.0833,23.19,48,0,5.07,FR,1658863377
40,panguipulli,-39.6333,-72.3333,8.5,97,100,1.67,CL,1658863378
41,rikitea,-23.1203,-134.9692,24.02,76,100,6.08,PF,1658863379
42,balkanabat,39.5108,54.3671,31.49,40,14,1.9,TM,1658863380
43,busselton,-33.65,115.3333,9.68,83,0,2.96,AU,1658863140
44,luderitz,-26.6481,15.1594,13.59,80,39,2.13,NA,1658863146
45,havoysund,70.9963,24.6622,16.13,88,100,4.36,NO,1658863384
46,mar del plata,-38.0023,-57.5575,14.01,96,100,2.68,AR,1658863178
47,hjelset,62.7833,7.4833,10.88,87,75,4.63,NO,1658863386
48,chuy,-33.6971,-53.4616,18.08,87,90,2.54,UY,1658863388
49,new norfolk,-42.7826,147.0587,6.72,87,87,1.3,AU,1658863389
50,hambantota,6.1241,81.1185,25.72,85,100,1.6,LK,1658863162
51,coquimbo,-29.9533,-71.3436,14.85,72,0,4.63,CL,1658862797
52,hilo,19.7297,-155.09,27.93,91,100,1.79,US,1658863102
53,waipawa,-41.4122,175.5153,9.23,97,100,4.21,NZ,1658863394
54,iqaluit,63.7506,-68.5145,10.85,76,20,3.6,CA,1658863395
55,zhoucheng,35.9122,116.3117,23.25,93,0,1.32,CN,1658863396
56,una,20.8167,71.0333,27.03,85,85,4.6,IN,1658863397
57,kharp,66.8014,65.8081,9.68,89,100,4.29,RU,1658863399
58,tiksi,71.6872,128.8694,10.81,83,55,1.18,RU,1658863400
59,baruun-urt,46.6806,113.2792,14.76,80,72,2.25,MN,1658863144
60,atuona,-9.8,-139.0333,25.18,74,9,7.86,PF,1658863148
61,fortuna,40.5982,-124.1573,22.18,71,39,0.89,US,1658863404
62,marawi,7.9986,124.2928,20.5,92,100,1.44,PH,1658863405
63,castro,-24.7911,-50.0119,22.73,44,0,1.93,BR,1658863137
64,tutoia,-2.7619,-42.2744,27.82,62,12,4.05,BR,1658863407
65,cayenne,4.9333,-52.3333,31.02,19,75,3.6,GF,1658863409
66,port alfred,-33.5906,26.891,17.83,59,0,4.69,ZA,1658863410
67,hermanus,-34.4187,19.2345,11.0,88,100,3.06,ZA,1658863411
68,vostok,46.4856,135.8833,15.78,97,0,1.1,RU,1658863413
69,bethel,41.3712,-73.414,28.52,50,40,2.57,US,1658863173
70,mahebourg,-20.4081,57.7,21.16,83,40,3.09,MU,1658863415
71,beloha,-25.1667,45.05,16.22,76,0,1.35,MG,1658863416
72,gushikawa,26.3544,127.8686,26.57,94,0,1.54,JP,1658863418
73,saskylakh,71.9167,114.0833,18.11,89,42,1.72,RU,1658863420
74,kargil,34.5667,76.1,16.5,59,100,1.09,IN,1658863421
75,talnakh,69.4865,88.3972,12.34,77,5,1.46,RU,1658863143
76,vilhena,-12.7406,-60.1458,31.12,29,40,5.14,BR,1658863426
77,kodiak,57.79,-152.4072,12.73,62,0,0.0,US,1658863427
78,cape town,-33.9258,18.4232,14.04,81,20,2.57,ZA,1658863313
79,lerwick,60.1545,-1.1494,11.0,75,4,5.68,GB,1658863429
80,chuhar kana,31.75,73.8,29.9,70,94,3.45,PK,1658863431
81,simao,22.7886,100.9748,18.67,87,95,0.41,CN,1658863432
82,ixtapa,20.7,-105.2,30.68,74,100,4.12,MX,1658863433
83,ribeira grande,38.5167,-28.7,25.22,83,20,5.14,PT,1658863142
84,alofi,-19.0595,-169.9187,18.94,94,47,1.03,NU,1658863437
85,yakovlevka,44.425,133.4772,18.76,97,27,0.83,RU,1658863438
86,barsi,18.2333,75.7,24.14,84,100,2.28,IN,1658863439
87,guayabal,5.031,-74.8868,31.54,54,57,0.4,CO,1658863441
88,thompson,55.7435,-97.8558,18.09,72,75,3.09,CA,1658863442
89,abeche,13.8292,20.8324,28.87,58,100,6.61,TD,1658863443
90,ambon,-3.6954,128.1814,26.24,14,40,3.09,ID,1658863445
91,banikoara,11.2985,2.4386,26.65,72,50,1.73,BJ,1658863446
92,arraial do cabo,-22.9661,-42.0278,23.98,73,20,8.23,BR,1658863447
93,klaksvik,62.2266,-6.589,11.51,75,91,4.27,FO,1658863449
94,shelburne,44.0787,-80.2041,23.46,38,0,3.5,CA,1658863450
95,la chaux-de-fonds,47.0999,6.8259,19.38,63,67,1.03,CH,1658863451
96,iquitos,-3.7481,-73.2472,27.02,89,75,3.6,PE,1658863452
97,barrow,71.2906,-156.7887,2.01,93,100,6.69,US,1658863455
98,oktyabrskiy,54.4815,53.471,18.08,91,50,2.04,RU,1658863456
99,cidreira,-30.1811,-50.2056,17.86,86,13,5.48,BR,1658863459
100,la ronge,55.1001,-105.2842,17.12,82,75,5.66,CA,1658863460
101,codrington,-38.2667,141.9667,9.99,94,36,4.09,AU,1658863461
102,fairbanks,64.8378,-147.7164,14.0,55,75,8.23,US,1658863359
103,nikolskoye,59.7035,30.7861,24.37,70,83,3.09,RU,1658863463
104,puerto ayora,-0.7393,-90.3518,25.98,86,100,3.58,EC,1658863467
105,mataura,-46.1927,168.8643,6.93,97,100,3.42,NZ,1658863469
106,cherskiy,68.75,161.3,5.63,68,4,4.34,RU,1658863471
107,la paz,-16.5,-68.15,16.99,31,20,4.12,BO,1658863350
108,metro,-5.1131,105.3067,22.85,94,90,2.17,ID,1658863473
109,danielskuil,-28.1887,23.5395,14.45,48,8,5.9,ZA,1658863474
110,pisco,-13.7,-76.2167,18.03,77,20,3.6,PE,1658863476
111,fare,-16.7,-151.0167,25.12,74,68,3.43,PF,1658863478
112,yellowknife,62.456,-114.3525,21.29,49,20,2.06,CA,1658863293
113,makakilo city,21.3469,-158.0858,27.18,65,100,6.69,US,1658863480
114,adilabad,19.6667,78.5333,24.6,90,100,2.22,IN,1658863482
115,whitehorse,60.7161,-135.0538,22.43,49,75,6.69,CA,1658863483
116,kassala,15.451,36.4,26.73,73,100,6.77,SD,1658863484
117,leon,21.1167,-101.6667,26.75,45,86,1.7,MX,1658863382
118,monrovia,6.3005,-10.7969,26.87,82,66,3.57,LR,1658863370
119,caravelas,-17.7125,-39.2481,23.96,68,1,3.28,BR,1658863489
120,hofn,64.2539,-15.2082,10.09,90,99,1.29,IS,1658863490
121,port macquarie,-31.4333,152.9167,9.38,65,0,5.21,AU,1658863491
122,linqiong,30.4159,103.4609,30.9,88,27,1.34,CN,1658863493
123,butaritari,3.0707,172.7902,27.53,75,12,7.99,KI,1658863494
